text,binary_label,multiclass_label
"@nh_shaheen Many of Muhammad Qasim’s dreams about Pakistan, Imran Khan &amp; Muslim ummah are coming true. These dreams indicate important events that will occur in the future, events that have been mentioned in Hadith. I think Muhammad Qasim is Imam Al-Mahdi. https://t.co/qsBlru1HYw https://t.co/h7svYQqvX5",cyberbullying,religion
"nigga its not a bad thing, niggas in your day just didn’t see opportunity like that so in circumstance, being smart was a myth. almost a lie. Now kids can see doctors, famous scientists and lawyers in media all the time. https://t.co/zTQFP4IujX",cyberbullying,ethnicity/race
"@blousemouse Yes! It reminds me of that tweet about the progression of MXTX male leads, along the lines of:1. Luo Binghe - overpowered, obsessed mass murderer2. Lan Wangji - a bit of a bitch sometimes3. Hua Cheng - overpowered, obsessed mass murderer",cyberbullying,gender/sexual
I like you bitch you better like me back,cyberbullying,gender/sexual
I’m eating it with a fork bc I’m a bad bitch,cyberbullying,gender/sexual
@EMelafec @insanepplYT I thought that was the name of the bitch from Harry Potter 😭,cyberbullying,gender/sexual
@WaywardRabbler @GPWRespecter @RWApodcast We don't know if that's real or not or census manipulation from the balance of power between the Muslim North and Christian SouthNigeria which has grown in population by 200 million people in the last few decades also has the same amount of votes every election at 20 million,cyberbullying,religion
@SeemTV This nigga must be Rizzless,cyberbullying,ethnicity/race
@Eat_Me_Slow @KarlousM He still gone be a bitch nigga tho,cyberbullying,ethnicity/race
this nigga jay wants to fight gib. He'll get killed😭,cyberbullying,ethnicity/race
"Thank God Obese Lizzo now holds The rights to ""That bitch""Shouldn't it be ""That Diabetic and Obese Loudmouth""As a fat person myself there is NOTHING cute about being near death due to obesity...Nor is referring to women as Bitches Cool...",cyberbullying,gender/sexual
@AussieBhakt @AsbahFarooqui Why did raam send his pregnant wife into the jungle? Why should we Muslims ☪️ Hindus 🕉 atheists ⚛️ and urban naxals from jnu like supradeep Mukherjee and kanhaiya Kumar chant victory to one of your deities? Which article of the constitution of India 🇮🇳 compels me to worship raam,cyberbullying,religion
@Tsega86721973 @Selushire @UN @TSEGA #stop weaponizing rape #Justice4TigraysWomenAndGirls #stopweaponizingrape,cyberbullying,gender/sexual
@_scorpiolady this is why i can’t fw a social media ass nigga,cyberbullying,ethnicity/race
"Terrorism has nothing to do with the religion of Islam and Shariat, the attackers in the mosque are not human beings but beasts Chief Khatib Maulana Tayyab Qureshi
#Peshawar #Peshawarblast #Peshawarunderattack https://t.co/yQcEuxW9qf",cyberbullying,religion
@DailyLoud bitch woulda got slid,cyberbullying,gender/sexual
"@suckafreegsev bitch you just mad that i don’t want to talk to you , you 30 acting like a lil bitch , you a weirdo &amp; a creep",cyberbullying,gender/sexual
"@_LuckyLibra13 Oh hell the fuck no. And the bus driver a super dumb bitch because even if it was just a fight, stop the bus and figure out wtf going on.",cyberbullying,ethnicity/race
"@HinaiSabri @DaveAtherton20 @hzomlot Don’t forget kill the Jews wherever you find them but definitely not an Islamic thing 😂🤣😂 the cult teaches hatred for all non Muslims especially the apostate, pagan and Jew",cyberbullying,religion
This nigga blue face said chrisean naturally fried.  😭,cyberbullying,ethnicity/race
"Even if it was just the one, he was sexually harassing a group of women and recording it I’m sorry, but you lose all rights to be a whiny bitch when you walk up and decided to be a creep towards someone and decide to record it without anyone’s permission",cyberbullying,gender/sexual
@s_afreen7 Isme kyun chid rhi ho tum mohtarma....so means when u say AW to a non Muslim and I know most of Muslims greets other Non-M as that....TB to nhi chid mchti tujhe ya tere jaise ko??? Fake news agenda peddler turned alleged journalist!!,cyberbullying,religion
So of I get 21 KMs to sign a letter saying that kashmir is a hub of islamic terrorism and they want to be with India would u agree. I will get it from prominent guys only. Like Abdullas and muftis and bla bla,cyberbullying,religion
@PRGuy17 How fucking dumb are these imbeciles???,cyberbullying,ethnicity/race
This idiot Ashok swain is trying to create communial tensions between Hindus &amp; Muslims he must be banned immediately. He is an international terrorist. @UU_University you people should ban this man Ashok Swain with immediate effect before its too late.,cyberbullying,religion
"faux locs are soooo fuckin cute, but a bitch to take out.",cyberbullying,gender/sexual
@patrickiscool3 I answered on my own tweet again and gave creds then I think we know who is now a bitch  (It's you when your brain don't got it),cyberbullying,gender/sexual
diamonds on me dodge ram bitch on my dodge ram,cyberbullying,gender/sexual
"@BDSSupporter 98% of Muslims are killed by other Muslims, microbrain. http://t.co/f3erq7u9s3",cyberbullying,religion
@EvieLupine Absolutely verbal explicit consent. But if they remove the condom or stop using a condom that you explicted required to be used. You're a victim or rape or sexual assault.,cyberbullying,gender/sexual
"👀 as long as these bills paid &amp; this 🐱 ate, idc what a nigga doing behind my back 😂",cyberbullying,ethnicity/race
why hurricane matthew look so evil and devious this bitch was alive i s2g https://t.co/yAlo6FeBsb,cyberbullying,gender/sexual
"@AEHarrod @StvenGoldstein It's used to refer to any bigotry at Muslim people. It tends to include bigotry at Arabs but doesn't clearly say so.Whether or not it's part of GOP's motivation for removal, Omar still supports bigotry at Jews, annihilation of Israel, extremist ideology &amp; weird Turkey position.",cyberbullying,religion
my ex nigga the biggest tuck inna city it’s sick,cyberbullying,ethnicity/race
#Dominionists (&amp; other right-wing extremists who pander to Christians to further their own interests) will continue to prop up &amp; support Trump as long as his outrageous antics provide cover as they implement radical reforms.,cyberbullying,religion
I can see it's not easy being an African christian woman right now Constantly at loggerheads with your religion and culture,cyberbullying,religion
"The Hagia Sophia is a Christian church, built by Byzantine Christians for Eastern Orthodoxy, Erdogan has made a grave mistake in his conquest for radical Islamic support. Our God will not be mocked.",cyberbullying,religion
war is war we start takeing arms and legs from those x predators white nigger jews n there hosts MAKE SURE THOSE MTFRS NEVER WALK AGAIN ON THIS PLANET,cyberbullying,ethnicity/race
"Your dick ain’t good enough to be stylin on me, yous a bitch ass nigga to keep on wildin on me.",cyberbullying,ethnicity/race
@rmythlc @RabidWolfFPS @FireStriker_ @SaltagreppoD2 You must have me confused with someone else in this thread bitch,cyberbullying,gender/sexual
"@chiefhairyman @GavinC86 @Honeyba18627773 @PantiBliss Not legal to gay in Lebanon. Legal in khazakstan, but muslims living there have far lessrights than straight people.So why do u think some of the most oppressive countries for gays and woman are usually Muslim majority?",cyberbullying,religion
cum on pantyhose. cum on a bitch https://t.co/KrMWyLksdp,cyberbullying,gender/sexual
If this nigga snorts and makes that dumb ass noise again I might actually kms 🤦🏽‍♂️,cyberbullying,ethnicity/race
"White World AND White World Coons:

White Niggers are all concerned about Humanity and Human Rights...

FOR White Niggers.

All the while perpetuating such to Non-Whites...

Talking all about...

'They're nobodies! They're Niggers'...

Being Niggers themselves

Nigger Rich Bitch!",cyberbullying,ethnicity/race
Idc if Ice Spice can’t rap sis be making me feel like that bitch lmaooooooo,cyberbullying,gender/sexual
"@momsluvme1212 @itstayste That was definitely a clarification of what you're talking about. I'm not the follow the trend ass bitch type. You see, I heard it from the mouth of the horse herself, and then said something. YET WITHOUT EVEN COMING BACK TO YOU AND YOUR SIDEKICK bt look at you coming find me 1/2",cyberbullying,gender/sexual
This nigga IQ having the game of his life,cyberbullying,ethnicity/race
My nigga told me stop posting quotes on Twitter I told his bitch to shut up,cyberbullying,ethnicity/race
@tspencer322 You got exposed for being a paid shill and now you're butthurt about it 🤣🤣🤣 internet tough guy that theatens to sue 🤣🤣🤣 fuckin loser..now go be a bitch and block me too ...end of the day you deserve all the smoke you're getting,cyberbullying,gender/sexual
@GovInslee Shut up dumb fuck,cyberbullying,ethnicity/race
@zalover123 i infact did not ask you that so what other fucking bitch asked you that .,cyberbullying,gender/sexual
If you my nigga ima let you know I seen yo bitch in public… what she was doin? You gotta figure that out on yo own.,cyberbullying,ethnicity/race
@SenTedCruz Hey dumb fuck stay out of private business. Newsmax contract was expiring and time for renewal. They wanted more money to stay with Direct. Direct made business decisions based on money and came to the conclusion not worth it 🤷♂️ pay attention this happens a lot with programming. IDIOT,cyberbullying,ethnicity/race
"Whoever stole my phone, you’re a fucking bitch lol",cyberbullying,gender/sexual
@kumar_alabhya @ShrimaliKuldip @BoiesX45 @imaddy108 Bro we all know Just because of Pakistanis Indian muslims also get hatred for no reason. bro doesn't matter Hindu will survive or muslim will survive the main point is will humanity survive??,cyberbullying,religion
"I could have the bitch I want, &amp; still want 3 mo",cyberbullying,gender/sexual
Y’all not about to try to vindicate this weirdo. She knew about the plot and still befriended those bitches and attacked her friend and still didn’t get in the circle! Fuck this bird killer #RHOP https://t.co/WRpuMWvD5P,cyberbullying,gender/sexual
@MitchStLouis1 I have another account in there already dumb bitch shut yo Pussy ass up before beat yo ass,cyberbullying,ethnicity/race
Let’s talk about Islamic terrorism nexus with Zakir Naik and you guys. The ant CAA and Delhi riot. Do u have guts to talk ? Don’t worry Zakir Naik is next you would be dragged from your home and who knows face same fate as Dubey Jihadan.,cyberbullying,religion
“r u taken?” yes bitch taken for granted,cyberbullying,gender/sexual
yo mama ain’t got no daughters bitch yu ain’t them bitches brothers 😂😂😂😂😂😂..,cyberbullying,gender/sexual
"oh nothing, js a 5star birthday bitch ⭐️",cyberbullying,gender/sexual
@HealThyBurgers3 @notcapnamerica Because critiquing the group you support is impossible? Wanting black people not to fuck themselves over with stupid shit like blaming random employees for not having eyes behind their backs or x ray vision and overall assuming they are racist is anti black then?,cyberbullying,ethnicity/race
"Might just be his verse on ""Looking for Trouble"" nigga ran laps around ALL of GOOD music lol https://t.co/e6Yb6kJAYd",cyberbullying,ethnicity/race
"@HJB3996 @akilahgreen @ask_aubry I interpreted it as her way of establishing plausible deniability for why she's not interacting with creepy customer dude as much as she used to. ""I totally would hang out and chat with you if my boss wasn't such a jerk. Please don't rape and murder me.""",cyberbullying,gender/sexual
We used to hate when niggas come on our block G,cyberbullying,ethnicity/race
@CookedByCeltics This nigga single-handedly stopped the housing crisis in February with his bricks and somehow went up the mvp leaderboard,cyberbullying,ethnicity/race
@xxxtrickstarxxx What r u talking about ur owner signed like 70 players and u want the guy to work miracles it’s so dumb because when bro was at Brighton it was pumping the likes of u man with less quality players let the guy breathe and form his squad lol,cyberbullying,ethnicity/race
@kiracantmizz That nigga sickWhy he take pictures of the cum dawg☠️☠️☠️☠️,cyberbullying,ethnicity/race
‘refreshing weather’ bitch shut the fuck up,cyberbullying,gender/sexual
@KateMax21150837 @FayeKamsika Kate come right out hold your hands up and say what we already know. You are a bitter person using excuses to hide your racism. Look in the mirror grow a spine stop hiding behind your fake nonsense of caring. You don’t give a damn. If she were white you would be quiet.,cyberbullying,ethnicity/race
@ibnHlophe @eeviewonders @CTFleaMarkets The Hadith about the Arabian Penninsula is why Muslims will not rest till they destroy Israel.,cyberbullying,religion
"So what do want? Jihad?Removing soldiers from there to promote unabated movement of jihadis and separatist, terrorists, inside the country?Imagine if for once the army boycotts their duty, what will happen then?Its sad when people promote jihadis in the name of humanity.Good luck",cyberbullying,religion
"@satangsan coco listen.... snie is just a lil cat we all know that and, and!!! wy knows it too so he uses it against sn because who wouldn't so he just coaches him like he's this dumb little thing like 'what was that baby, was it a meow? you can do better, kitten' or something 🫠🫠🫠",cyberbullying,ethnicity/race
@ghntaking_zimbu @MuqaddarRaja @itzmeakashmazz @mdsirajofficial So what about Modi government doing in India bulldozing house  of muslim .Bro we all know is media spreading bad relationship between peoples religion to religion  country to country man to man woman to woman they are literally promoting hates,cyberbullying,religion
"the ideology of Pakistan and the Muslim League's narrative, he wrote a masterpiece مسئلہ قومیت in which he proved through human history as well as Quran o Sunna that the nations are formed on the bases of religions instead of lands. During the movement, Dev Band clerics+",cyberbullying,religion
Rev. Ronald Durham: DeSantis takes 'ludicrous position' on African American studies course/ 👀 Open White Racism from the FL gov desantis ! Just Creating his Real life Moment of Racist Analogy to be RACIST✅💯⚖️👁️😱🤔🇺🇲https://t.co/7zKGexIzQ6,cyberbullying,ethnicity/race
@nypost Of course this is a Hate crime - Happed on February 1 - first day of Black History month.  @BIPOCracism chronicles hundreds of posts of blacks saying they should kill white people for BHM . #HateCrime #racism #CRT #DEI #DemocratsAreTheProblem,cyberbullying,ethnicity/race
"Against humanity .I get it now, listen to me carefully msm it's u all who r terrorising the world and killing for no reason and calling it jihad.98.2% terrorists organizations r led by msms. Whose the one hating there world here, go get your facts checked",cyberbullying,religion
"Hormonal IUDs be having these cute ass names, dique Skyla, Mirena, KyleenaBut then there’s that Paragard bitch",cyberbullying,gender/sexual
@notgwendalupe “YOU DUMB BITCH IM GONNA FUCK Y-“ GET HER ASS MADDIE,cyberbullying,ethnicity/race
"Romney concerned with Chinese freedom? What about the freedom of 60 million plus Americans elected President? Is Romney continuing to support radical anti life anti religious leftist opposed to Moromon, Catholic and Christian nation? Make a choice Romney, your ego or America?",cyberbullying,religion
"As opposed to what you doing. It’s amazing how Muslims can attack and when faced with opposition, suddenly turn tail and feign innocence. You labeled us to appease your own delusions because you’re incapable of coming to terms with the fact that the idiot you defending is",cyberbullying,religion
"Hey #WackyBrothers, you know what's wacky? Letting someone who made hundreds/thousands of child rape jokes get to write/direct Superman. How low DC and WBD has fallen. #JamesGunnIsAWeirdo https://t.co/MDkHrZXHkn",cyberbullying,gender/sexual
"If my nigga say bless you when you sneeze, you can have him",cyberbullying,ethnicity/race
@lexfridman Nigga you a cyborg?,cyberbullying,ethnicity/race
"@KafirCentral That is, your people in 'Muslim' cloaks, here from Elysium - just having fun.
Nothing to do with Islam.
In Islam, girls can marry when they are 15. Nothing below. Just like with some states in the US. 
Aisha was 15.
The rest is just your God-loathing type hoping to do evil.",cyberbullying,religion
"@Criter10n The orientation of his da’wa is clear for those who can see. He’s not the first one trying to bring back islam in the hearts of his people, history of modern Turkiye is full of fails. He’s a great muslim politician in his context, and the last to be criticized on that point.",cyberbullying,religion
hillary clinton is a dumb fucking cunt. A worthless neocon piece of excrement,cyberbullying,ethnicity/race
I ain’t fck’d in so long a nigga hug me &amp; I might cum fr 😩🥴,cyberbullying,ethnicity/race
@CitizenFreePres This is a new revelation for her? Racist bitch!,cyberbullying,gender/sexual
Most of these Nigga at as you sassy as 😂😂😂😂😂😂,cyberbullying,ethnicity/race
@gamerfrommars There was a study that showed in the UK ginger men are the most susceptible to radicalization by ISIS or similar terrorists groups because of self esteem issues that can be easily groomed by muslim jihadis,cyberbullying,religion
If one speaks bad about the muslim you will pay! Idiots! Twitter Verification Purge Targets Mediaite Journalist Who Reported on Obama Spying https://www.breitbart.com/tech/2020/05/25/twitter-verification-purge-targets-mediaite-journalist-who-reported-on-obama-spying/ via @BreitbartNews,cyberbullying,religion
i said Huskies be talking shit to their owners because their owners are torturing them having them in places like Texas and they said im a dumb bitch who don’t know shit. i said Huskies wanna be in snow and i was a dumb c*nt. 🤭🤭🤭 https://t.co/qpzGbnAoHt,cyberbullying,ethnicity/race
@sluttyarabia Stupid sand nigger https://t.co/o0G9ZneD0o,cyberbullying,ethnicity/race
"@AliAlAhmed_en @SecDef Al-Sisi is a national hero in Egypt after he confronted the Muslim Brotherhood and confronted their terrorism, and he remembered that the Americans were the ones who defended and supported the Brotherhood",cyberbullying,religion
"@247zen_ That whole skit is an explanation why. He basically lets his son’s friend fuck his mom, whole world calls him a bitch, but the only person that he slaps is the smallest dude he can fight — makes him a bitch. If Jason Momoa or The Rock said that joke, you think he walks up there?",cyberbullying,gender/sexual
@DrippyBirdz @KimWrites4U @CaesarSherrod who's bring drugs and guns into the community? I think people would seriously stop hating black men if they could just be hones about their violent behavior and stop blaming it on white supremacy or black single mothers. shit is getting old and no one wants to hear it.,cyberbullying,ethnicity/race
"Even if you in a Benz, you still a nigga in a coupe/coop…that’s why I double park my whip outside the front office. Fuck it",cyberbullying,ethnicity/race
once a bitch start acting weird i make note of that. don’t gotta worry bout me no more sweetheart,cyberbullying,gender/sexual
@Tysunfleur You’re gonna test positive for gay bitch syndrome :(,cyberbullying,gender/sexual
@MattBoxer94 Republican ouster has zero to do with her antisemitic remark or her views on Israeli policies.It has everything to do with highlighting Muslims in the Dem Party because that gins up the MAGA vote.That is why Republicans spent so much saying Obama was a Muslim born in Kenya.,cyberbullying,religion
"@tunkuv Green also scored an hundred in the same innings. Obsessed with Hindu and Muslim even when it does not matter. Wait for performances from Gujju boys Pujara / Jadeja / Patel. Also, Mohd Shami bowled well without much luck.",cyberbullying,religion
Hate a hoe who change they voice when they get otp with a nigga girl u don’t talk like that😒,cyberbullying,ethnicity/race
@realstewpeters may that bitch be shown the same measure of mercy,cyberbullying,gender/sexual
"A #Muslim man reportedly pressurized a ninth-standard #Hindu girl for #nikah and threatened to kill her if she refused him. The incident took place in Kannauj, #UttarPradesh. The video of the victim has surfaced on social media.(1/2) https://t.co/ET6VofURb2",cyberbullying,religion
@Unjemile10 @TheShadeRoom @GettyImages Not the 8th nigga 😂😂😂,cyberbullying,ethnicity/race
Ain’t met a nigga that can handle me,cyberbullying,ethnicity/race
@Mikeand1keFGC Lame ass niggas lmaooo,cyberbullying,ethnicity/race
Nigga over in the corner mumbling to his self like nigga shut up I can’t even hear you,cyberbullying,ethnicity/race
"I'd 1000% rather @InfinityWard just released Warzone: Verdansk for a full $70 than whatever white MW2 premium expansion they have planned for late this year.

I'd instead buy that.

I'm not buying MW2:2 if that really IS what they're planning...

I hope they're not THAT dumb...",cyberbullying,ethnicity/race
@bearded_blerdd1 @lilstephrealtor @realmainfeeling nigga if you ain't got an answer just say that ☠️,cyberbullying,ethnicity/race
"Yes, Luke P.’s Approach is aggressive and not okay, BUT did everyone just forget that he is right about the fact that having sex with multiple men only two weeks before you plan on being engaged to one of them is not okay. Especially for a christian woman.",cyberbullying,religion
If u ever think u got tea on me i promise u it’s STRAIGHT PISS! drink up bitch!,cyberbullying,gender/sexual
Whooo Wendy stared daggers at that bitch. Lol. #RHOP #RHOPReunion,cyberbullying,gender/sexual
"Our politicians make inane speeches about freedom of speech while studiously avoiding the real source of the problem, the violence in #Islam",cyberbullying,religion
Not fw an African nigga again until I’m ready to settle 😒,cyberbullying,ethnicity/race
And secondly Lockdown is to keep down the creeps like u instigating violence in name of Jihad and Islam...probably u might hav heard that word Islamic terrorism from Trump too...that's what ur real face...,cyberbullying,religion
@yusufpore The most barbaric against Hindus and destroyed so many temples and even built alien structures over them. This bigotry though led to birth of current time supporters but led to downfall of that rule. Even destroyed temples of friendly Raja in Jodhpur,cyberbullying,religion
"On everything i love bro you a BITCH for picking her side, niggas wanna try me over MODEMS, in real life they be petrified https://t.co/FTXb3nxysW",cyberbullying,ethnicity/race
@geestylinn bitch na you going to far ugly unloved fucked up stomach ho,cyberbullying,gender/sexual
@Hello_Kameka @0chainz How I’m judging u when the evidence is in the photo I didn’t say got to hell I said go to the nail salon … Judging you would be me saying any nigga fuck a bitch with feet like that likes niggas but I didn’t say that did I?,cyberbullying,ethnicity/race
Bitch I’m fine 🥰https://t.co/MEsRORIu4O,cyberbullying,gender/sexual
"@micearenice1 @BlueNerd78 Nah.... everyone can't belong in this here NIGGA club 🙃🫠 don't even get peoples teeth punched out like that 😭 cause that's def one way to do it. My Niggas can call me Nigga... if you can't then you ain't in the club. That ""hard R, N word"" ain't ever okay though.",cyberbullying,ethnicity/race
"This law has been modernized for Thailand as a country, not muslims, so they are kafirs for you don't worry about them. Second it's not about you being Muslim it's about you being an idiot human being, keep living in 7th century with your fantasy God and their theories",cyberbullying,religion
"@Bushra1Shaikh No, almost half are Islamist in nature. Ms only make up 5% of the population.Further, risk is probability x impact. The impact of Islamic terrorism has been mass murder.",cyberbullying,religion
"Clear cut proof of Islamic tyranny, just visiting this structure clears all doubts that the mosque was built on a Hindu temple, despite that the matter will linger in court 4 yrs... https://t.co/Xmvmg5Qgfx",cyberbullying,religion
"""I'am not supporting it"" you are just giving money to a tranphobic bitch, you are dumb as fuck https://t.co/CEdu4JOSYV https://t.co/awPg6DHi3r",cyberbullying,ethnicity/race
"@TheBlue_Stable @MichaelTBS_ @LukeVerkamp Do that and it is remembered as nearly as dumb as trading away Marshall Faulk.Barring injuries JT is a Hall of Fame RB, you don't trade those away for a (late) 2nd round pick....especially when you don't know that you'll find an Edgerrin James to make your fans okay with it.",cyberbullying,ethnicity/race
I usually don’t tweet this much but niggas got me fucked up thinking I won’t go crazy on this bitch.,cyberbullying,ethnicity/race
Halal came to denote all that was permissible under the tenets of Islam and those that did not conform to the tenets of Islam were termed as Haram. Muslims insist on consuming only Halal products  them is considered as sin.https://t.co/EqwCC3Og1Zहलाल मुक्त होली#HalalFreeHoli,cyberbullying,religion
"@MeghUpdates Thats because RG, Farooq, Jinnah, Nehru et al were never Hindu - they are blooded Muslims &amp; Pak sympathisers to the core #CongressMuktBharat",cyberbullying,religion
"Me and my friends have this thing where we slap each other at the back of the neck when we slakck or go outta lineOne day we were waiting at food line and one of them did it on me and i immediatly went ""bitch"" and did it backUnfortunately, hall inspector was there today &lt;/3 https://t.co/s9rSECXYhL",cyberbullying,gender/sexual
another super cringe moment is when a nigga say “ i know im ugly but .. “ like if you really ugly what im suppose to say back 😂😂😂😂😂😂 .,cyberbullying,ethnicity/race
"@ibndeen78 1. There's a fiqhi position that Muslim women can't even uncover in front of non Muslim women2. While I agree they shouldn't put their married life on hold for school, fact of the matter is women live longer nowadays and child rearing is only a fraction of their lives now...",cyberbullying,religion
Get your history facts STRAIGHT the bitch turned on skis during kid era. She was in Svs BEFORE kid era.,cyberbullying,gender/sexual
@pramodrama Bjp a terrorist party If they come to power Wil demolish all Hindu Temples n convert everyone into Islam  cong never demolished any Temple Hindus safe under congress n danger under Bjp So vote for cong vote out Bjp,cyberbullying,religion
"Some idiots are still under the impression that Muslim women need incompetent self-congratulatory liberal males to support us. Like we aren’t better educated, braver, more accomplished, more active, more vocal. We can mentor you, guy. (By appointment only, competition is fierce.)",cyberbullying,religion
Muslims have started exercising this right by demanding that every product that they use is compliant with the tenets of Islam i.e. Halal.🚩Impose immediate ban on religion-based ‘Halal’ certification in secular India !#HalalFreeHoliहलाल मुक्त होली https://t.co/0vHoqHBT6H,cyberbullying,religion
"@BitWalkers_ It's easy to get angry at a lot of the dumb s*** that gets posted to this site. Remember that at the end of the day, they're just nameless faceless strangers whose minds you probably won't change. It's your time and wellbeing that suffers trying to argue with them.",cyberbullying,ethnicity/race
A nigga can’t never make it seem like is this and that what me I either know what’s up or I ain’t fuckin wit straight up,cyberbullying,ethnicity/race
"@RSBNetwork He'd be dumb and if it is advisors telling him not to then fire them. Truth Social is the worst echo chamber of all time, I couldn't deal with Trump all the time for a social media. He is our President just not our whole way of life. He needs to be on Twitter to get the Ind. vote",cyberbullying,ethnicity/race
why im downloading apps for the plug nigga u want this money or not😒,cyberbullying,ethnicity/race
"MMA ""Journalists"" realized that still complaining about Trump in 2023 is a bit much, now they complain about Brazil's ex president. As if anyone in America gives a fuck. (Also, Brazil's *current* president is a also a fucking conman, but I wonder why they don't bitch about him....)",cyberbullying,gender/sexual
Young nigga buggin smmfh https://t.co/EL1ZOvedxU,cyberbullying,ethnicity/race
Bad bitch 🍑#barbiedoll https://t.co/4MH5f6yqMy,cyberbullying,gender/sexual
love will make a nigga crash out if a bitch ain kno,cyberbullying,ethnicity/race
i HATE a twitter based ass nigga omm!,cyberbullying,ethnicity/race
Mfs don’t even understand wat keeping a baby from somebody do to a nigga mentally,cyberbullying,ethnicity/race
"Sayema! Let's call for banning Manusmriti &amp; Quran then. As per Quran polytheists are worst of creatures!This is land of Ram,Krishn,Shiv,Mahavir,Buddh,Nanak! Muslim league won 87% Muslim dominated seats in 1946 elections! Only 1% Hindus left in Pakistanhttps://t.co/Z6TDYrGgMl",cyberbullying,religion
@Y00NAGA Oh wait I thought this was about that nigga who play venom..my bad https://t.co/IRuCUWInRn,cyberbullying,ethnicity/race
You Ever Lose A Nigga You Love Ts Hit Different LLJL. 🤞🏾,cyberbullying,ethnicity/race
@SenSanders @IlhanMN She's antisemitic.  It has nothing to do if she's Muslim or not you nor a woman for that matter you fn dolt.,cyberbullying,religion
"@StroudToVegas @ClassyDameFan Nigga they both ugly, i’m not saying she’s still hot",cyberbullying,ethnicity/race
Me and my nigga vise versa 🫶🏾,cyberbullying,ethnicity/race
"Seth Meyers made a good point, the phrase ""Trump is a pussy ass bitch."" is now in the congressional record.",cyberbullying,gender/sexual
“A Pakistani court has sentenced 86 members of a far right religious party to 55-year prison terms each for taking part in violent protests against the acquittal of a Christian woman in a blasphemy case.” https://www.aljazeera.com/news/2020/01/pakistani-activists-sentenced-blasphemy-protests-200117092607998.html,cyberbullying,religion
"@RashidaTlaib beautiful Muslim woman???? How about racist ugly inside and out.Removing a hater isn't racist,  spewing hate towards Jews and Israel is!And by the way, you too are ugly inside and out",cyberbullying,religion
"These niggas don’t be having no motion fr , but always wanna spend time , nigga go get some money",cyberbullying,ethnicity/race
@dadollbase right bitch not even in my city trynna pop it 😂😂☠️ if u wanna fck asain jst say tht,cyberbullying,gender/sexual
"@JarrodVet21 @realDailyWire How do you take your Muslims your Muslim religion your hatred toward the United States, and get the hell out of our country you communist traitor enemy the US government is for the US people not foreign enemies also to undermine our country",cyberbullying,religion
Nigga didnt flush the toilet😂😂😂,cyberbullying,ethnicity/race
"If all Christians were like you Reuben, they’d deserve to be mocked - particularly for their apparent views on LGBT. Fortunately the vast majority of Christians I meet and mix with only want to support as many people as possible and spread good. Take a long look at yourself.",cyberbullying,religion
I Swea the NFL only rigged wen a Nigga favorite team lose Niggas ain’t say shit the whole season now the Bengals lose in all of a sudden it’s rigged 😂 you niggas hoes man,cyberbullying,ethnicity/race
@HibachiSalad @ManuelR98112914 That’s my lover. You stop being a rude bitch right meow. https://t.co/B7nyVhGSWU,cyberbullying,gender/sexual
I got my own bag im what a bitch need,cyberbullying,gender/sexual
